   PID Name                        CPU%  Memory%
  1327 xfconfd                      0.0      0.1
  1343 ssh-agent                    0.0      0.0
  1352 xfwm4                        0.0      2.9
  1358 gvfsd                        0.0      0.2
  1363 gvfsd-fuse                   0.0      0.1
  1373 menu-cached                  0.0      0.1
  1440 bash                         0.0      0.1
  1441 xfsettingsd                  0.0      0.6
  1520 Thunar                       0.0      1.4
  1549 xfdesktop                    0.0      1.8
  1590 xfce4-power-manager          0.0      0.4
  1591 xfce4-notifyd                0.0      0.4
  1595 xcompmgr                     0.0      0.1
  1602 systemd-inhibit              0.0      0.1
  1605 xiccd                        0.0      0.2
  1634 tumblerd                     0.0      0.8
  1641 dconf-service                0.0      0.1
  1645 kworker/u19:3-events_unbo    0.0      0.0
  1650 gtk-nop                      0.0      0.4
  1674 cloudflared                  0.0      1.1
  1677 cups-browsed                 0.0      0.3
  1679 dockerd                      0.0      1.7
  1815 gvfs-udisks2-volume-monit    0.0      0.3
  1823 gvfs-afc-volume-monitor      0.0      0.2
  1829 ssh-agent                    0.0      0.0
  1832 gvfs-goa-volume-monitor      0.0      0.1
  1851 gpg-agent                    0.0      0.1
  1865 gvfs-mtp-volume-monitor      0.0      0.1
  1867 gvfsd                        0.0      0.2
  1883 gvfs-gphoto2-volume-monit    0.0      0.2
  1916 gvfsd-trash                  0.0      0.2
  1936 xfsettingsd                  0.0      0.5
  1955 gvfsd-metadata               0.0      0.1
  2693 xfce4-panel                  0.0      1.2
  2712 panel-6-systray              0.0      0.6
  2713 panel-8-pulseau              0.0      0.8
  2715 panel-10-notifi              0.0      1.0
  2730 panel-14-action              0.0      0.7
  2790 xfce4-notifyd                0.0      0.5
  2857 Thunar                       0.0      0.6
  2876 xfce4-power-manager          0.0      0.4
  2879 xcompmgr                     0.0      0.1
  2883 systemd-inhibit              0.0      0.1
  2889 xiccd                        0.0      0.2
  2909 gtk-nop                      0.0      0.4
  2912 dconf-service                0.0      0.1
  4086 panel-25-batter              0.0      0.6
  4229 panel-29-system              0.0      0.7
  5504 xfdesktop-settings           0.0      1.2
  5541 gvfsd-network                0.0      0.2
  5616 gvfsd-dnssd                  0.0      0.2
  6093 kworker/1:0-events_freeza    0.0      0.0
  6415 kworker/1:0H                 0.0      0.0
  7107 kworker/u19:0-ext4-rsv-co    0.0      0.0
  7117 kworker/u16:0-v3d_render     0.0      0.0
  7820 kworker/3:0-events           0.0      0.0
  8083 kworker/0:1-mm_percpu_wq     0.0      0.0
  9621 geany                        0.0      1.4
  9678 bash                         0.0      0.1
  9906 xfce4-terminal               0.0      1.0
  9938 sh                           0.0      0.0
  9940 python                       0.0      0.9
  9995 xdg-desktop-portal           0.0      0.3
 10000 xdg-document-portal          0.0      0.2
 10004 xdg-permission-store         0.0      0.2
 10011 fusermount3                  0.0      0.0
 10015 (udev-worker)                0.0      0.1
 10018 xdg-desktop-portal-gtk       0.0      0.5
 10028 gnome-keyring-daemon         0.0      0.2
